source,type,chapter,module,target,pages,text_pages,empty_pages,chars,status
data/PPT/第五章 树与二叉树/5.1.3 树的性质【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.1.3 树的性质,data/corpus/05_树与二叉树/5.1.3_树的性质.md,8,8,0,829,ok
data/PPT/第五章 树与二叉树/5.2.1_1 二叉树的定义和基本术语【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.2.1_1 二叉树的定义和基本术语,data/corpus/05_树与二叉树/5.2.1_1_二叉树的定义和基本术语.md,9,9,0,1027,ok
data/PPT/第五章 树与二叉树/5.2.1_2 二叉树的性质【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.2.1_2 二叉树的性质,data/corpus/05_树与二叉树/5.2.1_2_二叉树的性质.md,8,8,0,1418,ok
data/PPT/第五章 树与二叉树/5.2.2 二叉树的存储结构【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.2.2 二叉树的存储结构,data/corpus/05_树与二叉树/5.2.2_二叉树的存储结构.md,12,12,0,1862,ok
data/PPT/第五章 树与二叉树/5.3.1_1 二叉树的先中后序遍历【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.1_1 二叉树的先中后序遍历,data/corpus/05_树与二叉树/5.3.1_1_二叉树的先中后序遍历.md,22,22,0,2835,ok
data/PPT/第五章 树与二叉树/5.3.1_2 二叉树的层次遍历【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.1_2 二叉树的层次遍历,data/corpus/05_树与二叉树/5.3.1_2_二叉树的层次遍历.md,4,4,0,341,ok
data/PPT/第五章 树与二叉树/5.3.1_3 由遍历序列构造二叉树【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.1_3 由遍历序列构造二叉树,data/corpus/05_树与二叉树/5.3.1_3_由遍历序列构造二叉树.md,38,38,0,5109,ok
data/PPT/第五章 树与二叉树/5.3.2_1 线索二叉树的概念【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.2_1 线索二叉树的概念,data/corpus/05_树与二叉树/5.3.2_1_线索二叉树的概念.md,12,12,0,1258,ok
data/PPT/第五章 树与二叉树/5.3.2_2 二叉树的线索化【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.2_2 二叉树的线索化,data/corpus/05_树与二叉树/5.3.2_2_二叉树的线索化.md,14,14,0,882,ok
data/PPT/第五章 树与二叉树/5.3.2_3 在线索二叉树中找前驱后继【公众号：研料库，料最全】.pdf,课件,第五章 树与二叉树,5.3.2_3 在线索二叉树中找前驱后继,data/corpus/05_树与二叉树/5.3.2_3_在线索二叉树中找前驱后继.md,14,14,0,2252,ok
